,Country,Species,Habitat/setting,Host,Human-interface,Check surveillance data,Notes
298,Hong Kong,Silky Chicken,Domestic,Avian,High,No,
299,Hong Kong,Northern Pintail,Wild,Avian,Low,No,
300,Hong Kong,Eurasian Wigeon,Wild,Avian,Low,No,
301,Hong Kong,Swine,Domestic,Mammal,High,No,
302,Hong Kong,Teal,Wild,Avian,Low,No,
303,Hong Kong,Quail,Domestic,Avian,High,No,
304,Hong Kong,Barn Swallow,Wild,Avian,Medium,No,Synanthropic
305,Hong Kong,Pheasant,Domestic,Avian,High,No,
306,Hong Kong,Human,Human,Mammal,High,No,
307,Hong Kong,Duck,Domestic,Avian,High,No,
308,Hong Kong,Waterfowl,Wild,Avian,Low,No,
309,Hong Kong,Chicken,Domestic,Avian,High,No,
310,Philippines,Human,Human,Mammal,High,No,
311,Spain,Swine,Domestic,Mammal,High,No,
312,Spain,Human,Human,Mammal,High,No,
313,-N/A-,Ferret,Domestic,Mammal,High,No,Farmed/pet
314,-N/A-,Human,Human,Mammal,High,No,
315,Lebanon,Quail,Domestic,Avian,High,No,
316,Lebanon,Human,Human,Mammal,High,No,
317,Kyrgyzstan,Human,Human,Mammal,High,No,
318,Netherlands,Teal,Wild,Avian,Low,No,
319,Netherlands,Mute Swan,Wild,Avian,Low,No,
320,Netherlands,Shoveler,Wild,Avian,Low,No,
321,Netherlands,Herring Gull,Wild,Avian,Low,No,
322,Netherlands,Barnacle Goose,Wild,Avian,Low,No,
323,Netherlands,Black-Headed Gull,Wild,Avian,Low,No,
324,Netherlands,Goose,Unknown,Avian,,Yes,
325,Netherlands,Mallard,Wild,Avian,Low,No,
326,Netherlands,Ruddy Turnstone,Wild,Avian,Low,No,
327,Netherlands,Eurasian Wigeon,Wild,Avian,Low,No,
328,Netherlands,Swine,Domestic,Mammal,High,No,
329,Netherlands,Human,Human,Mammal,High,No,
330,Netherlands,Northern Shoveler,Wild,Avian,Low,No,
331,Netherlands,Common Eider,Wild,Avian,Low,No,
332,Netherlands,Pink-Footed Goose,Wild,Avian,Low,No,
333,Netherlands,Chicken,Domestic,Avian,High,No,
334,Netherlands,Bewick's Swan,Wild,Avian,Low,No,
335,Estonia,Human,Human,Mammal,High,No,
336,Denmark,Swine,Domestic,Mammal,High,No,
337,Denmark,Human,Human,Mammal,High,No,
338,Denmark,Duck,Unknown,Avian,,Yes,
339,Poland,Turkey,Domestic,Avian,High,No,
340,Poland,Chicken,Domestic,Avian,High,No,
341,Poland,Swine,Domestic,Mammal,High,No,
342,Poland,Human,Human,Mammal,High,No,
343,Finland,Human,Human,Mammal,High,No,
344,Saudi Arabia,Turkey,Domestic,Avian,High,No,
345,Saudi Arabia,Falcon,Wild,Avian,Medium,No,Falconry/hunting
346,Saudi Arabia,Avian,Domestic,Avian,High,No,
347,New Caledonia,Human,Human,Mammal,High,No,
348,Sweden,Dunlin,Wild,Avian,Low,No,
349,Sweden,Black-Headed Gull,Wild,Avian,Low,No,
350,Sweden,Mallard,Wild,Avian,Low,No,
351,Sweden,Eurasian Wigeon,Wild,Avian,Low,No,
352,Sweden,Weasel,Domestic,Mammal,High,No,
353,Sweden,Human,Human,Mammal,High,No,
