,Country,Species,Habitat/setting,Host,Human-interface,Check surveillance data,Notes
415,USA,Greater White-Fronted Goose,Wild,Avian,Low,No,
416,USA,Bufflehead,Wild,Avian,Low,No,
417,USA,Greater Scaup,Wild,Avian,Low,No,
418,USA,Dove,Wild,Avian,Low,No,
419,USA,Least Sandpiper,Wild,Avian,Low,No,
420,USA,Red Knot,Wild,Avian,Low,No,
421,USA,Blue-Winged Teal,Wild,Avian,Low,No,
422,USA,Ring-Necked Duck,Wild,Avian,Low,No,
423,USA,Knot,Wild,Avian,Low,No,
424,USA,Parrot,Wild,Avian,Medium,No,"Not native. Likely a pet bird, exhibit animal or feral. Check surveillance data."
425,USA,White-Winged Scoter,Wild,Avian,Low,No,
426,USA,Pigeon,Wild,Avian,Medium,No,Synanthropic
427,USA,American Wigeon,Wild,Avian,Low,No,
428,USA,Green-Winged Teal,Wild,Avian,Low,No,
429,USA,Lesser Scaup,Wild,Avian,Low,No,
430,USA,Black Duck,Wild,Avian,Low,No,
431,USA,Semipalmated Sandpiper,Wild,Avian,Low,No,
432,USA,Northern Pintail,Wild,Avian,Low,No,
433,USA,Mute Swan,Wild,Avian,Low,No,
434,USA,Waterfowl,Wild,Avian,Low,No,
435,USA,Swine,Domestic,Mammal,High,No,
436,USA,Teal,Wild,Avian,Low,No,
437,USA,Long-Tailed Duck,Wild,Avian,Low,No,
438,USA,Chukar,Wild,Avian,Low,No,
439,USA,Laughing Gull,Wild,Avian,Low,No,
440,USA,Shorebird,Wild,Avian,Low,No,
441,USA,Emu,Unknown,Avian,,Yes,"Not native. Could be a pet bird, exhibit animal or feral. Check surveillance data."
442,USA,Gadwall,Wild,Avian,Low,No,
443,USA,Pheasant,Wild,Avian,Low,No,
444,USA,Herring Gull,Wild,Avian,Low,No,
445,USA,Rhea,Unknown,Avian,,Yes,"Not native. Could be a pet bird, exhibit animal or feral. Check surveillance data."
446,USA,Black Scoter,Wild,Avian,Low,No,
447,USA,Snow Goose,Wild,Avian,Low,No,
448,USA,Goose,Wild,Avian,Low,No,
449,USA,Mallard,Wild,Avian,Low,No,
450,USA,Weasel,Domestic,Mammal,High,No,Likely farmed for fur or pet.
451,USA,Human,Human,Mammal,High,No,
452,USA,Duck,Unknown,Avian,,Yes,Could be farmed or hunter shot. Check surveillance data.
453,USA,Quail,Domestic,Avian,High,No,
454,USA,Chicken,Domestic,Avian,High,No,
455,USA,Common Scoter,Wild,Avian,Low,No,
456,USA,Sanderling,Wild,Avian,Low,No,
457,Afghanistan,Chicken,Domestic,Avian,High,No,
458,Sudan,Chicken,Domestic,Avian,High,No,
459,India,Goose,Domestic,Avian,High,No,
