,Search Term,Returned Location,Longitude,Latitude
299,Italy_Siena,"Siena-Ampugnano Airport (SAY), Località Ampugnano, 53018 Sovicille SI, Italy",11.254167,43.257221
300,China_Eastern China,"Dong Bu Kuai Su Lu, Erdao Qu, Changchun Shi, Jilin Sheng, China",125.3764691,43.8854996
301,Kyrgyzstan,Kyrgyzstan,74.766098,41.20438
302,Russia_Moscow,"Moscow, Russia",37.6173,55.755826
303,Viet Nam_BacNinh,"Ga Bắc Ninh, tp. Bắc Ninh, Bắc Ninh, Vietnam",106.0562396,21.1783743
304,Australia_AUS,Australia,133.775136,-25.274398
305,Sweden_Stockholm,"Stockholm, Sweden",18.0685808,59.3293235
306,Australia_Darlinghurst,"Darlinghurst NSW, Australia",151.2186198,-33.8806799
307,Viet Nam_Nam Dinh,"Nam Dinh, Vietnam",106.2051484,20.2791804
308,Austria_Vienna,"Vienna, Austria",16.3738189,48.2081743
309,Germany_Saerbeck,"Saerbeck, Germany",7.6313899,52.1747613
310,USA_Maine,"Maine, USA",-69.4454689,45.253783
311,USA_Missouri,"Missouri, USA",-91.8318334,37.9642529
312,Egypt,Egypt,30.802498,26.820553
313,France_Lyon,"Lyon, France",4.835659,45.764043
314,USA_Springfield,"Springfield, MA, USA",-72.589811,42.1014831
315,Mexico_Mexico City,"Mexico City, Federal District, Mexico",-99.133208,19.4326077
316,New Zealand_Canterbury,"Canterbury, New Zealand",171.1637245,-43.7542275
317,Thailand_A,Thailand,100.992541,15.870032
318,France_Marquenterre,"Parc du Marquenterre, 25bis chemin des Garennes, 80120 Saint-Quentin-en-Tourmont, France",1.585797,50.2637072
319,USA_TX,"Texas, USA",-99.9018131,31.9685988
320,Thailand_Suphanburi,"Suphan Buri, Thailand",100.1177128,14.4744892
321,Switzerland_Geneva,"Geneva, Switzerland",6.1422961,46.1983922
322,USA_Kentucky,"Kentucky, USA",-84.2700179,37.8393332
323,Russia_Omsk,"Omsk, Omsk Oblast, Russia",73.366667,54.983333
324,China_Zhejiang-Yiwu,"Yiwu, Jinhua, Zhejiang, China",120.075058,29.306841
325,China_Anhui,"Anhui, China",117.284923,31.861184
326,USA_Pensacola,"Pensacola, FL, USA",-87.2169149,30.421309
327,Nicaragua_Managua,"Managua, Nicaragua",-86.251389,12.136389
328,China_Shanghai,"Shanghai, Shanghai, China",121.473701,31.230416
329,Italy_Pavia,"Pavia PV, Italy",9.1582069,45.1847248
330,France_Ille et Vilaine,"Ille-et-Vilaine, France",-1.5300695,48.2292016
331,USA_Los Angeles,"Los Angeles, CA, USA",-118.2436849,34.0522342
332,USA_FL,"Florida, USA",-81.5157535,27.6648274
333,New Zealand_West Coast,"West Coast, New Zealand",171.6911559,-42.4064185
334,Russia_Kurgan,"Kurgan, Kurgan Oblast, Russia",65.35,55.466667
335,China_Zhenjiang,"Zhenjiang, Jiangsu, China",119.425836,32.187849
336,South Korea_wild duck,"Salta Province, Argentina",-64.7162415,-25.2529539
337,USA_Wyoming,"Wyoming, USA",-107.2902839,43.0759678
338,Canada_Canada-NS,"Nova Scotia, Canada",-63.744311,44.6819866
339,New Zealand_Bay of Plenty,"Bay Of Plenty, New Zealand",176.1880232,-37.6825027
340,USA_New Bern,"New Bern, NC, USA",-77.0441143,35.108493
341,China_Harbin,"Harbin, Heilongjiang, China",126.534967,45.803775
342,China_Jiangxi,"Jiangxi, China",115.909228,28.675697
343,Netherlands,Netherlands,5.291266,52.132633
344,Mexico_Queretaro,"Santiago de Querétaro, Querétaro, Mexico",-100.3898881,20.5887932
345,USA_IN,"Indiana, USA",-86.1349019,40.2671941
346,Viet Nam_Binh Doung,"Binh Duong, Vietnam",106.477017,11.3254024
347,Japan_Akita,"Akita, Akita Prefecture, Japan",140.1025642,39.7200079
348,China_Jilin,"Jilin, Jilin, China",126.549572,43.837883
349,China_Huabei,"Hua Bei Lu, Dalian Shi, Liaoning Sheng, China",121.5689759,38.9792398
350,Netherlands_Bilthoven,"Bilthoven, Netherlands",5.2103806,52.1365344
351,Nigeria_NIGERIA,Nigeria,8.675277,9.081999
352,USA_Texas,"Texas, USA",-99.9018131,31.9685988
353,Russia_Primorie,"Primorsky Krai, Russia",135.0,45.0525641
354,Italy_Roma,"Rome, Italy",12.4963655,41.9027835
355,Australia_Brisbane,"Brisbane QLD, Australia",153.0234489,-27.4710107
